SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,Industry,Segment,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,Applies,Timeframe,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
AAATECH,20260904,94.02,96.59,91.1,91.74,4672431.24,AAA TECHNOLOGIES LIMITED,Information Technology,Cash Only,20260904,98.4,91.01,95.03,94.81333333333335,94.70500000000001,94.92166666666668,94.92166666666668,94.70500000000001,0.21666666666666856,0.22799817601459388,Narrow,Bullish,Below CPR,False,False,0.10810810810810811,37,10212694.55,True,True,Overlapping,True,Risk Off,True,None,6.835000000000002,,,0.03169958546695955,0.4575120911650099,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
AADHARHFC,20260904,471.1,488.0,462.8,483.55,577236233.5,AADHAR HOUSING FINANCE L,Financial Services,Cash Only,20260904,481.15,459.3,471.1,470.5166666666667,470.225,470.8083333333334,470.8083333333334,470.225,0.5833333333333712,0.12382367508668461,Narrow,Bullish,Above CPR,True,False,0.16666666666666666,54,813297576.2,True,False,Inside,True,Risk Off,True,None,34.06071428571428,487.705,,0.017126280102059764,0.7097478836676754,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
AAKASH,20260904,8.61,8.89,8.52,8.75,3420271.3200000003,AAKASH EXPLORATION SER L,Diversified,Cash Only,20260904,8.98,8.5,8.73,8.736666666666666,8.74,8.733333333333333,8.74,8.733333333333333,0.006666666666667709,0.07636502481864499,Narrow,Bearish,Above CPR,False,False,0.1388888888888889,36,3576835.4000000004,False,False,Lower,True,Risk Off,True,None,1.4342857142857144,,,0.004648074369190633,0.9562283240654574,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
AAREYDRUGS,20260904,90.0,96.99,86.41,95.79,110409287.84,AAREY DRUGS & PHARM LTD,Healthcare & Pharma,Cash Only,20260904,89.01,74.6,89.01,84.20666666666666,81.805,86.60833333333332,86.60833333333332,81.805,4.803333333333313,5.396397408530854,Wide,Bullish,Above CPR,False,False,0.8260869565217391,23,86538111.93,False,False,Higher,True,Risk Off,False,Bullish Virgin,12.089285714285717,,,0.397321516494336,1.2758458137994644,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
AARNAV,20260904,32.39,33.63,31.04,32.17,1867985.15,AARNAV FASHIONS LIMITED,Diversified,Cash Only,20260904,36.9,29.99,33.71,33.53333333333333,33.445,33.62166666666666,33.62166666666666,33.445,0.1766666666666623,0.5240779195095292,Moderate,Bullish,Below CPR,False,False,0.25925925925925924,27,8990032.709999999,True,True,Higher,True,Risk Off,False,None,3.7964285714285717,,,0.04653496393853757,0.20778402151108527,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
AARON,20260904,132.0,134.6,124.68,128.45,5884327.12,AARON INDUSTRIES LIMITED,Diversified,Cash Only,20260904,140.59,134.0,134.94,136.51000000000002,137.29500000000002,135.72500000000002,137.29500000000002,135.72500000000002,1.5699999999999932,1.1634800652141641,Wide,Bearish,Below CPR,False,False,0.48148148148148145,54,9069684.145,False,False,Lower,True,Risk Off,False,Bearish Virgin,10.710714285714285,152.674,,0.1465821940646876,0.6487907435281475,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
AARTECH,20260904,48.57,50.88,47.15,48.64,9045482.0,AARTECH SOLONICS LIMITED,Information Technology,Cash Only,20260904,60.98,46.61,49.66,52.416666666666664,53.795,51.03833333333333,53.795,51.03833333333333,2.756666666666675,5.551080681970752,Wide,Bearish,Below CPR,False,False,0.9361702127659575,47,11081911.8,False,False,Higher,True,Risk Off,False,None,6.920000000000002,,,0.39836223506743845,0.8162384039187173,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
AARTIDRUGS,20260904,423.0,443.75,409.95,431.65,477135833.4,AARTI DRUGS LTD.,Healthcare & Pharma,Cash Only,20260904,429.8,413.9,418.55,420.75,421.85,419.65,421.85,419.65,2.2000000000000455,0.5256241787122317,Moderate,Bearish,Above CPR,False,False,0.2962962962962963,54,292570720.95000005,False,False,Higher,True,Risk Off,False,None,24.67142857142857,403.42,,0.08917197452229483,1.6308393124599159,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
AARTIIND,20260904,540.6,540.6,490.0,492.05,1788557582.35,AARTI INDUSTRIES LTD,Chemicals,Cash Only,20260904,551.75,525.4,540.35,539.1666666666666,538.575,539.7583333333332,539.7583333333332,538.575,1.1833333333331666,0.21899386200299187,Narrow,Bullish,Below CPR,False,False,0.24074074074074073,54,1464540028.65,False,False,Higher,True,Risk Off,True,None,36.79285714285714,432.195,,0.032162039733380575,1.2212418557099298,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
AARTIPHARM,20260904,839.9,886.95,829.0,858.8,1913217946.5500002,AARTI PHARMALABS LIMITED,Diversified,Cash Only,20260904,862.0,808.8,840.7,837.1666666666666,835.4,838.9333333333333,838.9333333333333,835.4,3.533333333333303,0.4202846833987514,Moderate,Bullish,Above CPR,False,False,0.2222222222222222,54,587612132.925,False,False,Inside,True,Risk Off,True,None,66.85714285714288,734.526,,0.05284900284900238,3.255919745949484,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
AARTISURF,20260904,518.9,554.9,494.6,548.5,33423857.55,AARTI SURFACTANTS LIMITED,Diversified,Cash Only,20260904,677.7,500.9,658.55,612.3833333333333,589.3,635.4666666666667,635.4666666666667,589.3,46.16666666666674,7.010351023713726,Wide,Bullish,Below CPR,False,False,1.0,50,17347888.875,False,False,Higher,True,Risk Off,False,None,56.31071428571427,420.038,,0.8198558170017564,1.926681557095229,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
AARVI,20260904,144.69,155.38,139.61,141.92,23967697.82,AARVI ENCON LIMITED,Diversified,Cash Only,20260904,155.19,141.0,142.25,146.14666666666668,148.095,144.19833333333335,148.095,144.19833333333335,3.896666666666647,2.7393087287638997,Wide,Bearish,Below CPR,False,False,0.9444444444444444,54,12630424.245000001,False,False,Lower,True,Risk Off,False,None,15.927142857142854,132.7406,,0.24465572398122284,1.8976162126531957,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
AASTHA,20260904,81.05,85.26,77.92,78.12,320562260.95,AASTHA SPINTEX LIMITED,Diversified,Cash Only,20260904,88.37,73.0,79.61,80.32666666666667,80.685,79.96833333333333,80.685,79.96833333333333,0.7166666666666686,0.9002219151697884,Wide,Bearish,Below CPR,False,False,0.42857142857142855,7,681105518.15,False,False,Higher,False,Risk Off,False,Bullish Virgin,,,,,0.47064992487610785,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
AAVAS,20260904,1277.1,1322.7,1234.2,1304.2,1192647089.1,AAVAS FINANCIERS LIMITED,Financial Services,Cash Only,20260904,1358.5,1257.9,1275.5,1297.3,1308.2,1286.3999999999999,1308.2,1286.3999999999999,21.800000000000182,1.7091336730693987,Wide,Bearish,Inside CPR,False,False,0.7592592592592593,54,1126169649.1999998,False,False,Lower,True,Risk Off,False,Bearish Virgin,100.71428571428574,1420.4619999999998,,0.2164539007092216,1.0590296852230248,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ABAN,20260904,14.83,15.12,14.25,14.99,2405113.23,ABAN OFFSHORE LTD.,Diversified,Cash Only,20260904,47.52,42.93,44.96,45.13666666666666,45.225,45.048333333333325,45.225,45.048333333333325,0.17666666666667652,0.39294187425862215,Moderate,Bearish,Below CPR,False,False,0.3333333333333333,3,2405113.23,False,False,Lower,False,Risk Off,False,Bearish Virgin,,,,,1.0,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ABANSENT,20260904,27.15,28.4,26.63,27.86,1121811.34,ABANS ENTERPRISES LTD.,Diversified,Cash Only,20260904,29.3,26.52,27.99,27.936666666666667,27.91,27.963333333333335,27.963333333333335,27.91,0.053333333333334565,0.19054424199119174,Narrow,Bullish,Below CPR,False,False,0.2857142857142857,7,1153120.31,False,False,Lower,False,Risk Off,False,Bearish Virgin,,,,,0.9728484792709965,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ABB,20260904,7488.0,7638.5,7258.0,7410.0,7024146800.0,ABB INDIA LIMITED,Capital Goods,F&O + Cash,20260904,7699.0,7429.5,7509.0,7545.833333333333,7564.25,7527.416666666666,7564.25,7527.416666666666,36.83333333333394,0.490522484130163,Moderate,Bearish,Below CPR,False,False,0.4074074074074074,54,7107922356.25,False,False,Inside,True,Risk Off,False,None,471.25,6195.987999999999,,0.07816091954023117,0.9882137772402176,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ABBOTINDIA,20260904,26300.0,26365.0,25710.0,26065.0,916720915.0,ABBOTT INDIA LIMITED,Healthcare,Cash Only,20260904,26745.0,26030.0,26175.0,26316.666666666668,26387.5,26245.833333333336,26387.5,26245.833333333336,141.66666666666424,0.5412289079910764,Moderate,Bearish,Below CPR,False,False,0.5185185185185185,54,1066841202.5,False,False,Overlapping,True,Risk Off,False,None,1037.142857142857,27510.6,,0.13659320477502063,0.8592852552486602,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ABCAPITAL,20260904,404.8,409.4,385.1,404.9,6943933168.05,ADITYA BIRLA CAPITAL LTD.,Financial Services,F&O + Cash,20260904,416.45,404.8,405.55,408.93333333333334,410.625,407.2416666666667,410.625,407.2416666666667,3.3833333333333258,0.834258003534293,Wide,Bearish,Below CPR,False,False,0.46296296296296297,54,7010152058.125,True,False,Overlapping,True,Risk Off,False,None,21.69285714285713,352.01800000000003,,0.1559653166502028,0.9905538582435954,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ABCOTS,20260904,208.9,220.9,205.01,208.15,10705488.62,A B COTSPIN INDIA LIMITED,Diversified,Cash Only,20260904,213.9,200.1,203.7,205.9,207.0,204.8,207.0,204.8,2.1999999999999886,1.080019636720662,Wide,Bearish,Above CPR,False,False,0.46,50,42322640.95999999,False,False,Lower,True,Risk Off,False,None,17.490000000000002,335.6028,,0.1257861635220119,0.25294944684850784,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ABDL,20260904,610.0,628.8,600.25,609.95,543432351.4,ALLIED BLEND N DISTILS L,Fast Moving Consumer Goods,Cash Only,20260904,643.9,592.2,610.0,615.3666666666667,618.05,612.6833333333334,618.05,612.6833333333334,5.366666666666561,0.87978142076501,Wide,Bearish,Below CPR,False,False,0.3333333333333333,54,1052674003.4,False,False,Higher,True,Risk Off,False,None,46.89285714285716,565.121,,0.11444529068291213,0.5162399276934589,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ABFRL,20260904,52.74,53.5,50.2,52.97,1275861383.05,ADITYA BIRLA FASHION & RT,Consumer Services,Cash Only,20260904,55.28,52.21,52.49,53.326666666666675,53.745000000000005,52.908333333333346,53.745000000000005,52.908333333333346,0.8366666666666589,1.593954404013448,Wide,Bearish,Inside CPR,False,False,0.5925925925925926,54,1406559293.04,False,False,Lower,True,Risk Off,False,Bearish Virgin,4.170714285714285,67.59060000000001,,0.20060512644859094,0.9070797010572357,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ABINFRA,20260904,11.41,11.78,10.95,11.35,10667924.8,A B INFRABUILD LIMITED,Real Estate & Infra,Cash Only,20260904,14.44,10.58,12.63,12.549999999999999,12.51,12.589999999999998,12.589999999999998,12.51,0.0799999999999983,0.6334125098970569,Moderate,Bullish,Below CPR,False,False,0.17647058823529413,51,81928155.0,False,False,Higher,True,Risk Off,True,Bullish Virgin,1.852142857142857,29.943999999999996,,0.04319321249517841,0.13021072914433385,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ABLBL,20260904,84.6,87.0,82.61,86.07,353420111.53,ADITYA BIRLA LIFES BRAN L,Consumer Services,Cash Only,20260904,87.14,84.24,84.6,85.32666666666667,85.69,84.96333333333334,85.69,84.96333333333334,0.7266666666666595,0.8589440504334036,Wide,Bearish,Above CPR,False,False,0.35185185185185186,54,549305807.62,False,False,Lower,True,Risk Off,False,None,4.9771428571428595,109.256,,0.14600076540374896,0.643394092375025,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ABMINTLLTD,20260904,55.18,57.22,54.11,55.86,80580.20999999999,ABM INTERNATIONAL LTD,Diversified,Cash Only,20260904,59.44,56.2,56.2,57.28,57.82,56.74,57.82,56.74,1.0799999999999983,1.9217081850533775,Wide,Bearish,Below CPR,False,False,0.4642857142857143,28,196688.43,False,False,Overlapping,True,Risk Off,False,Bearish Virgin,6.191428571428571,,,0.1744347023534838,0.40968454524752673,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ABMKNO,20260904,188.25,197.0,185.02,189.9,549552.83,A B M KNOWLEDGEWARE LTD.,Diversified,Cash Only,20260904,197.0,182.01,193.39,190.79999999999998,189.505,192.09499999999997,192.09499999999997,189.505,2.589999999999975,1.339262629918804,Wide,Bullish,Inside CPR,False,False,0.3,20,2157243.415,True,False,Overlapping,True,Risk Off,False,None,18.497857142857146,,,0.14001621809475864,0.2547477146893968,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ABREL,20260904,1390.7,1400.9,1318.7,1373.6,1005704711.3,ADITYA BIRLA REAL EST LTD,Realty,Cash Only,20260904,1486.0,1380.0,1387.0,1417.6666666666667,1433.0,1402.3333333333335,1433.0,1402.3333333333335,30.666666666666515,2.21100696947848,Wide,Bearish,Below CPR,False,False,0.8148148148148148,54,1283942916.1,False,False,Outside,True,Risk Off,False,Bearish Virgin,96.86428571428573,1452.478,,0.3165941548066744,0.7832939445274144,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ACC,20260904,1304.0,1304.0,1252.9,1283.8,912767620.3000001,ACC LIMITED,Construction Materials,Cash Only,20260904,1338.1,1291.0,1306.4,1311.8333333333333,1314.55,1309.1166666666666,1314.55,1309.1166666666666,5.433333333333394,0.4159012043274184,Moderate,Bearish,Below CPR,False,False,0.25925925925925924,54,1363730834.1,False,False,Higher,True,Risk Off,False,Bearish Virgin,56.02857142857145,1549.066,,0.09697433282339046,0.6693165524136477,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ACCELYA,20260904,1142.0,1146.2,1121.0,1131.0,26579848.4,ACCELYA SOLN INDIA LTD,Diversified,Cash Only,20260904,1150.0,1119.8,1134.1,1134.6333333333334,1134.9,1134.3666666666668,1134.9,1134.3666666666668,0.533333333333303,0.0470270111395206,Narrow,Bearish,Below CPR,False,True,0.05555555555555555,54,66369074.15,True,True,Lower,True,Risk Off,True,None,42.078571428571436,1232.4560000000001,,0.01267470152209513,0.4004854480857633,False,False,Short,0.5,None,Week 07 Sep – 11 Sep 2026,Weekly,0,-2,0,-2
ACCURACY,20260904,4.43,4.54,4.06,4.31,1095090.59,ACCURACY SHIPPING LIMITED,Diversified,Cash Only,20260904,5.8,5.07,5.47,5.446666666666666,5.4350000000000005,5.458333333333332,5.458333333333332,5.4350000000000005,0.02333333333333165,0.42656916514317467,Moderate,Bullish,Below CPR,False,False,0.21428571428571427,42,2793552.7600000002,False,False,Lower,True,Risk Off,True,Bearish Virgin,0.7571428571428572,,,0.030817610062890858,0.39200641050359114,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ACE,20260904,1149.0,1189.0,1073.8,1125.4,1756759143.3,ACTION CONST EQUIP LTD,Capital Goods,Cash Only,20260904,1192.0,1128.2,1140.6,1153.6,1160.1,1147.1,1160.1,1147.1,13.0,1.1397510082412765,Wide,Bearish,Below CPR,False,False,0.48148148148148145,54,1024174728.175,False,False,Inside,True,Risk Off,False,None,74.51785714285718,961.4169999999999,,0.17445482866043605,1.715292415416663,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ACEINTEG,20260904,17.44,19.8,16.81,17.83,685165.0,ACE INTEGRATED SOLU. LTD.,Diversified,Cash Only,20260904,18.63,16.98,17.44,17.683333333333334,17.805,17.561666666666667,17.805,17.561666666666667,0.2433333333333323,1.3952599388379143,Wide,Bearish,Above CPR,False,False,0.5,54,451591.365,False,False,Lower,True,Risk Off,False,None,2.3528571428571428,20.264400000000002,,0.10342036025096091,1.5172234305233008,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ACGL,20260904,1773.0,1842.9,1756.0,1797.6,7255770.1,AUTOMOBILE CORPN OF GOA L,Diversified,Cash Only,20260904,1839.2,1773.4,1792.6,1801.7333333333336,1806.3000000000002,1797.166666666667,1806.3000000000002,1797.166666666667,9.133333333333212,0.509502026851122,Moderate,Bearish,Inside CPR,False,False,1.0,3,6850745.9,False,False,Outside,False,Risk Off,False,None,,,,,1.0591211827021638,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ACI,20260904,486.9,512.7,480.45,504.2,1872991836.35,ARCHEAN CHEMICAL IND LTD,Diversified,Cash Only,20260904,522.9,479.8,484.3,495.6666666666667,501.35,489.98333333333335,501.35,489.98333333333335,11.366666666666674,2.347030077775485,Wide,Bearish,Above CPR,False,False,0.8888888888888888,54,372203072.85,False,False,Overlapping,True,Risk Off,False,None,39.042857142857144,564.4209999999999,,0.29113306500792796,5.032177252079879,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ACL,20260904,44.94,44.94,43.0,43.36,2365250.6799999997,ANDHRA CEMENTS LIMITED,Diversified,Cash Only,20260904,46.0,43.72,44.14,44.620000000000005,44.86,44.38000000000001,44.86,44.38000000000001,0.47999999999998977,1.0874490258268912,Wide,Bearish,Below CPR,False,False,0.4634146341463415,41,4447717.19,False,False,Lower,True,Risk Off,False,Bearish Virgin,2.862857142857142,,,0.1676646706586791,0.5317898101340386,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ACMESOLAR,20260904,399.0,430.5,382.9,418.0,5694537480.65,ACME SOLAR HOLDINGS LTD,Power,Cash Only,20260904,411.5,376.3,393.7,393.8333333333333,393.9,393.76666666666665,393.9,393.76666666666665,0.13333333333332575,0.03386673440013354,Narrow,Bearish,Above CPR,False,False,0.018518518518518517,54,1858478482.225,True,True,Inside,True,Risk Off,True,None,34.91428571428571,288.4586,,0.0038188761593014745,3.0640857750649926,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ACSTECH,20260904,52.0,52.45,50.0,51.83,25495869.97,A C S TECHNOLOGIES LTD.,Information Technology,Cash Only,20260904,54.77,50.5,50.96,52.076666666666675,52.635000000000005,51.518333333333345,52.635000000000005,51.518333333333345,1.11666666666666,2.1912611198325354,Wide,Bearish,Inside CPR,False,False,0.7,20,36761027.83,False,False,Higher,True,Risk Off,False,None,5.091428571428572,,,0.2193228582117458,0.6935570487284713,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ACUTAAS,20260904,3281.6,3321.9,3120.0,3168.5,4388677535.3,ACUTAAS CHEMICALS LIMITED,Healthcare,Cash Only,20260904,3384.0,3138.0,3281.6,3267.866666666667,3261.0,3274.7333333333336,3274.7333333333336,3261.0,13.733333333333576,0.4184950430684293,Moderate,Bullish,Below CPR,False,False,0.2222222222222222,54,4025781454.15,True,True,Inside,True,Risk Off,True,None,324.9000000000001,2376.634,,0.0422694162306358,1.0901430157804286,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ADANIENSOL,20260904,1589.0,1592.9,1348.0,1409.6,73327354895.1,ADANI ENERGY SOLUTION LTD,Power,F&O + Cash,20260904,1637.0,1527.0,1581.4,1581.8,1582.0,1581.6,1582.0,1581.6,0.40000000000009095,0.025294043252819712,Narrow,Bearish,Below CPR,False,True,0.018518518518518517,54,9536220583.6,True,True,Higher,True,Risk Off,True,None,119.45000000000002,1198.75,,0.0033486814566771944,7.689351798468816,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
ADANIENT,20260904,3165.0,3165.0,2830.5,2938.0,58935065370.5,ADANI ENTERPRISES LIMITED,Metals & Mining,F&O + Cash,20260904,3173.7,2962.5,3168.5,3101.566666666667,3068.1,3135.033333333334,3135.033333333334,3068.1,66.9333333333343,2.1124612066698534,Wide,Bullish,Below CPR,False,False,0.8518518518518519,54,18515461393.449997,False,False,Higher,True,Risk Off,False,None,172.72857142857143,2504.386,,0.38750585835194784,3.1830189979142935,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
