SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
ORICONENT,EQ,ORICON ENTERPRISES LTD,63.49,66.35,62.05,64.2,1215670,77404398.95,20260526,64.19999999999999,64.19999999999999,64.19999999999999,64.19999999999999,64.19999999999999,0.0,0.0,Narrow,Neutral,Above CPR,Cash Only,Diversified,False,False,0.25,4,8302935.61,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ORIENTALTL,EQ,ORIENTAL TRIMEX LTD,6.49,6.49,6.07,6.28,97151,610293.53,20260526,6.28,6.28,6.28,6.28,6.28,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Diversified,False,False,0.25,4,458843.065,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
AKI,EQ,AKI INDIA LIMITED,4.98,4.98,4.8,4.89,29596,144616.85,20260526,4.890000000000001,4.890000000000001,4.890000000000001,4.890000000000001,4.890000000000001,0.0,0.0,Narrow,Neutral,Below CPR,Cash Only,Diversified,False,False,0.25,4,167940.41,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
AKSHAR,EQ,AKSHAR SPINTEX LIMITED,0.49,0.49,0.47,0.48,753214,363597.81,20260526,0.48,0.48,0.48,0.48,0.48,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Diversified,False,False,0.375,4,343824.305,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
LEMERITE,EQ,LE MERITE EXPORTS LIMITED,222.45,222.45,222.45,222.45,35665,7933679.25,20260526,222.45,222.45,222.44999999999996,222.45,222.44999999999996,5.684341886080803e-14,2.5553346307398527e-14,Narrow,Bearish,Inside CPR,Cash Only,Diversified,False,False,0.25,4,243813447.05,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SIGMAADV,EQ,SIGMA ADVANCED SYSTEM LTD,385.35,385.35,385.35,385.35,96575,37215176.25,20260526,385.3500000000001,385.35,385.35000000000014,385.35000000000014,385.35,1.1368683772161605e-13,2.9502228551087585e-14,Narrow,Bullish,Inside CPR,Cash Only,Diversified,False,False,0.5,2,155811475.95,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ESSARSHPNG,EQ,ESSAR SHIPPING LTD,23.8,24.0,23.26,23.63,232766,5505955.83,20260526,23.63,23.630000000000003,23.629999999999995,23.630000000000003,23.629999999999995,7.105427357601002e-15,3.00695190757554e-14,Narrow,Bearish,Inside CPR,Cash Only,Diversified,False,False,0.25,4,7232206.79,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
FILATEX,EQ,FILATEX INDIA LTD,43.12,44.5,43.02,43.76,404647,17671579.1,20260526,43.76,43.760000000000005,43.75999999999999,43.760000000000005,43.75999999999999,1.4210854715202004e-14,3.2474530884830906e-14,Narrow,Bearish,Inside CPR,Cash Only,Diversified,False,False,0.25,4,14937101.675,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
PCJEWELLER,EQ,PC JEWELLER LTD,9.15,9.33,8.91,9.12,62536297,572457098.48,20260526,9.12,9.12,9.119999999999996,9.12,9.119999999999996,3.552713678800501e-15,3.895519384649672e-14,Narrow,Bearish,Inside CPR,Cash Only,Consumer & Retail,False,False,0.25,4,430839797.0,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BIRLANU,EQ,BIRLANU LIMITED,1339.1,1378.0,1339.1,1358.5,5773,7857931.3,20260526,1358.5333333333333,1358.55,1358.5166666666669,1358.55,1358.5166666666669,0.033333333333303,0.0024536866642107,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,10286680.2,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
HARIOMPIPE,EQ,HARIOM PIPE INDUSTRIES L,423.0,440.85,406.8,423.85,2513993,1067868666.95,20260526,423.8333333333333,423.8250000000001,423.8416666666666,423.8416666666666,423.8250000000001,0.0166666666665378,0.0039322087216085,Narrow,Bullish,Above CPR,Cash Only,Building Materials,True,False,0.25,4,582145566.775,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
MAXHEALTH,EQ,MAX HEALTHCARE INS LTD,1000.9,1000.9,987.15,993.95,2515276,2499214709.95,20260526,994.0,994.025,993.975,994.025,993.975,0.0499999999999545,0.0050304341264605,Narrow,Bearish,Below CPR,Cash Only,Healthcare,False,True,0.25,4,3446194884.025,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
RCF,EQ,RASHTRIYA CHEMICALS & FER,130.49,134.05,130.11,132.09,2563851,339779721.25,20260526,132.08333333333334,132.08,132.08666666666667,132.08666666666667,132.08,0.0066666666666606,0.0050470638705886,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.25,4,296698873.2,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
LYKALABS,EQ,LYKA LABS LTD,58.99,61.0,58.65,59.83,125987,7505377.35,20260526,59.82666666666668,59.825,59.82833333333335,59.82833333333335,59.825,0.0033333333333445,0.0055713410218026,Narrow,Bullish,Above CPR,Cash Only,Healthcare & Pharma,True,False,0.25,4,910735.885,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CAPITALSFB,EQ,CAPITAL SMALL FIN BANK L,284.0,285.5,278.45,281.95,36004,10165789.7,20260526,281.9666666666667,281.975,281.95833333333337,281.975,281.95833333333337,0.0166666666666515,0.0059112135721409,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,6004232.3,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
KOVAI,EQ,KOVAI MEDICAL CENTER & HO,5399.5,5399.5,5279.5,5340.0,8554,45548044.5,20260526,5339.666666666667,5339.5,5339.833333333334,5339.833333333334,5339.5,0.3333333333339396,0.0062421972534445,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.25,4,32614590.0,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
RUCHIRA,EQ,RUCHIRA PAPERS LIMITED,125.97,127.69,125.0,126.33,25905,3280245.4,20260526,126.34,126.345,126.33499999999998,126.345,126.33499999999998,0.0100000000000193,0.007915776141866,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,2908183.3200000003,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
INDIAMART,EQ,INDIAMART INTERMESH LTD,2029.3,2047.0,2029.3,2037.9,60733,123674386.4,20260526,2038.0666666666668,2038.15,2037.9833333333336,2038.15,2037.9833333333336,0.166666666666515,0.0081783535338591,Narrow,Bearish,Below CPR,Cash Only,Consumer Services,False,True,0.25,4,119881447.95,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CYBERTECH,EQ,CYBERTECH SYSTEMS & SOFTW,147.0,149.78,145.5,147.62,119680,17715584.47,20260526,147.63333333333333,147.64,147.6266666666667,147.64,147.6266666666667,0.0133333333333212,0.0090321997922511,Narrow,Bearish,Below CPR,Cash Only,Information Technology,False,True,0.25,4,19380557.895,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
LICHSGFIN,EQ,LIC HOUSING FINANCE LTD,545.05,548.15,540.0,544.15,666052,362404586.75,20260526,544.1,544.075,544.125,544.125,544.075,0.0499999999999545,0.0091886428374445,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.25,4,519364148.975,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
JAYKAY,EQ,JAYKAY ENTERPRISES LTD,201.49,205.0,196.42,200.68,618436,123960815.02,20260526,200.7,200.71,200.68999999999997,200.71,200.68999999999997,0.0200000000000386,0.009966115208311,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,108216216.1,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BHEL,EQ,BHEL,419.5,420.4,415.25,417.75,9434405,3941164128.3,20260526,417.8,417.825,417.775,417.825,417.775,0.0499999999999545,0.011968880909624,Narrow,Bearish,Below CPR,Cash Only,Capital Goods,False,True,0.25,4,3649121142.65,Inside,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
LUXIND,EQ,LUX INDUSTRIES LIMITED,1382.0,1414.0,1364.5,1389.5,49180,68399255.7,20260526,1389.3333333333333,1389.25,1389.4166666666663,1389.4166666666663,1389.25,0.166666666666515,0.0119947223221673,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.25,4,66246591.0,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
INDIACEM,EQ,THE INDIA CEMENTS LIMITED,402.95,408.0,401.05,404.6,127908,51794281.85,20260526,404.55,404.525,404.5750000000001,404.5750000000001,404.525,0.0500000000000682,0.0123578843302195,Narrow,Bullish,Above CPR,Cash Only,Construction Materials,True,False,0.25,4,55043229.675,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ALKEM,EQ,ALKEM LABORATORIES LTD.,5405.0,5422.0,5336.0,5380.0,63451,340343096.0,20260526,5379.333333333333,5379.0,5379.666666666666,5379.666666666666,5379.0,0.6666666666660603,0.0123915737298524,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.25,4,346303853.75,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NAHARPOLY,EQ,NAHAR POLY FILMS LIMITED,251.05,265.45,251.05,258.3,15701,4063627.85,20260526,258.26666666666665,258.25,258.2833333333333,258.2833333333333,258.25,0.033333333333303,0.0129048909536597,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.25,4,3203574.625,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GEEKAYWIRE,EQ,GEEKAY WIRES LIMITED,24.88,25.0,24.17,24.58,53113,1307446.6,20260526,24.58333333333333,24.585,24.581666666666663,24.585,24.581666666666663,0.0033333333333374,0.013561160835384,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,1563171.63,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
AARTIIND,EQ,AARTI INDUSTRIES LTD,482.35,501.3,480.5,491.0,1151979,569941055.8,20260526,490.9333333333333,490.9,490.9666666666667,490.9666666666667,490.9,0.0666666666667197,0.0135777325186801,Narrow,Bullish,Above CPR,Cash Only,Chemicals,True,False,0.25,4,408622208.375,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
TATACONSUM,EQ,TATA CONSUMER PRODUCT LTD,1191.7,1200.2,1174.5,1187.6,1766780,2100846899.3,20260526,1187.4333333333332,1187.35,1187.5166666666664,1187.5166666666664,1187.35,0.166666666666515,0.0140339059166819,Narrow,Bullish,Above CPR,Cash Only,Fast Moving Consumer Goods,True,False,0.25,4,2126198880.8,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CASTROLIND,EQ,CASTROL INDIA LIMITED,182.65,185.85,182.27,184.02,1060367,195569972.56,20260526,184.04666666666665,184.06,184.0333333333333,184.06,184.0333333333333,0.0266666666666992,0.0144911784951088,Narrow,Bearish,Below CPR,Cash Only,Oil Gas & Consumable Fuels,False,True,0.25,4,95737767.46,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GOLDTECH,EQ,AION-TECH SOLUTIONS LTD,42.73,49.0,42.2,45.61,209355,9733914.36,20260526,45.60333333333333,45.6,45.60666666666666,45.60666666666666,45.6,0.0066666666666606,0.0146166776291615,Narrow,Bullish,Above CPR,Cash Only,Information Technology,True,False,0.25,4,2277166.6550000003,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
STYL,EQ,SESHAASAI TECHNOLOGIES L,266.82,277.0,266.0,271.44,196331,53382197.83,20260526,271.48,271.5,271.46000000000004,271.5,271.46000000000004,0.0399999999999636,0.0147362216327599,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,40292683.13,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
MUTHOOTMF,EQ,MUTHOOT MICROFIN LIMITED,178.01,180.96,175.36,178.12,122896,22042133.76,20260526,178.14666666666668,178.16000000000005,178.13333333333333,178.16000000000005,178.13333333333333,0.0266666666666992,0.0149711804775989,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,25974751.605,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
INSECTICID,EQ,INSECTICIDES (I) LTD,743.85,768.0,743.85,755.75,27082,20494162.0,20260526,755.8666666666667,755.925,755.8083333333334,755.925,755.8083333333334,0.1166666666665605,0.0154372036608085,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,18141553.1,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SUPREMEINF,EQ,SUPREME INFRA. LTD.,82.4,82.4,80.0,81.22,113318,9224792.13,20260526,81.20666666666666,81.2,81.21333333333332,81.21333333333332,81.2,0.0133333333333212,0.016416317819898,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.25,4,5077182.574999999,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NFL,EQ,NATIONAL FERT. LTD,77.7,79.65,77.11,78.36,1899980,149680752.98,20260526,78.37333333333333,78.38,78.36666666666667,78.38,78.36666666666667,0.0133333333333212,0.0170154840905068,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,122291455.295,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
MPHASIS,EQ,MPHASIS LIMITED,2247.0,2288.9,2240.5,2265.3,297568,672453035.8,20260526,2264.9,2264.7,2265.1000000000004,2265.1000000000004,2264.7,0.4000000000005457,0.0176577053812098,Narrow,Bullish,Above CPR,Cash Only,Information Technology,True,False,0.25,4,570020777.0999999,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BANDHANBNK,EQ,BANDHAN BANK LIMITED,197.0,203.69,197.0,200.4,18270681,3672999711.03,20260526,200.36333333333332,200.345,200.3816666666667,200.3816666666667,200.345,0.0366666666666901,0.0182967398536378,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.25,4,2226722510.34,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NCLIND,EQ,NCL INDUSTRIES LIMITED,170.6,171.27,168.51,169.84,51999,8839434.42,20260526,169.8733333333333,169.89,169.85666666666668,169.89,169.85666666666668,0.033333333333303,0.0196263149630846,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,7634386.175000001,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BLUEJET,EQ,BLUE JET HEALTHCARE LTD,480.0,521.55,477.85,499.55,3316043,1689488529.95,20260526,499.65,499.7,499.6000000000001,499.7,499.6000000000001,0.099999999999909,0.0200180162145749,Narrow,Bearish,Below CPR,Cash Only,Healthcare,False,True,0.25,4,894381177.275,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
INTLCONV,EQ,INTL CONVEYORS LIMITED,77.97,79.6,77.97,78.76,41244,3258055.3,20260526,78.77666666666666,78.785,78.76833333333332,78.785,78.76833333333332,0.0166666666666799,0.0211613340105128,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,3851811.97,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SCODATUBES,EQ,SCODA TUBES LIMITED,139.3,141.0,135.75,138.33,269943,37344581.37,20260526,138.36,138.375,138.34500000000003,138.375,138.34500000000003,0.0299999999999727,0.021687269572741,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,34359543.735,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
TASTYBITE,EQ,TASTY BITE EATABLES LTD,7603.5,7740.0,7582.0,7663.5,1091,8365646.0,20260526,7661.833333333333,7661.0,7662.666666666666,7662.666666666666,7661.0,1.6666666666660603,0.0217481133511588,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.25,4,11891675.25,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
PONNIERODE,EQ,PONNIE SUGARS (ERODE) LTD,307.0,307.0,300.0,303.4,3933,1191831.9,20260526,303.46666666666664,303.5,303.4333333333333,303.5,303.4333333333333,0.0666666666667197,0.0219731927049175,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,1855316.425,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SUNDRMFAST,EQ,SUNDRAM FASTENERS LTD,862.0,877.0,860.0,868.2,68742,59839258.95,20260526,868.4,868.5,868.3,868.5,868.3,0.2000000000000454,0.0230361667818527,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,57098129.675,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
